Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
103,Georgia,31.2,12.9,23.2,30.9,34.2,45.4
104,Malaysia,31.1,9.1,21.5,39,22.1,84.1
105,Ghana,31.1,10.5,22.1,34.2,29,18.3
106,Mongolia,30.1,14.3,23.2,37.3,23.2,38.8
107,Morocco,30,8.2,20.5,31.6,23.2,44.6
108,Peru,30,10.2,21.4,33.6,24.2,47.9
109,Rwanda,29.7,10.6,21.4,22.4,21.4,23.2
110,Philippines,29.5,7.3,19.8,34.9,18.5,40.5
111,China,29.4,10.6,21.2,33.5,19.9,88.1
112,Azerbaijan,29.3,9.6,20.7,27.8,32.6,44.1
113,Ecuador,29.3,8.1,20.1,32.3,24.2,52
114,Brazil,28.6,8.2,19.7,29.1,23.8,46.6
115,Kenya,28.5,8.2,19.6,30.1,24.9,36.1
116,Colombia,28,9.4,19.9,29.4,23.1,41
117,Kosovo (Disputed Territory),27.5,7.5,18.8,29.1,22.2,63.2
118,Tunisia,27.5,5.3,17.8,33.2,16.4,37.6
119,Iraq,27.1,7,18.3,27.5,22.3,62
120,Algeria,26.8,3.8,16.7,36,15.4,38.3
121,Kazakhstan,26.6,10.6,19.6,27.8,25.9,54.9
122,Tajikistan,26.2,8.7,18.6,31.5,21.5,25.7
123,Ukraine,26.1,7.9,18.2,26.6,23.1,51.2
124,Vietnam,25.9,9.5,18.8,30.8,15.3,46
125,Nigeria,25.7,24,24.9,30.6,19.5,10.1
126,Kyrgyzstan,25.6,11.4,19.4,27.1,20.6,42.2
127,Bolivia,25.5,8.6,18.1,26.6,20.7,45.6
128,Uganda,25.4,8.7,18.1,28.1,22.7,21.1
129,Belarus,25.3,9.5,18.4,25.5,25.9,65.7
130,Uzbekistan,24.9,12.2,19.4,27.3,20.3,47.8
131,Indonesia,24.6,8.4,17.6,32.4,14.4,33.3
132,Tanzania,24.1,8.1,17.1,24.5,17.9,35.6
133,Syria,23.8,3.5,15,25.6,18,6.4
134,Paraguay,22.8,8.4,16.6,22.7,19,47.9
135,Iran,22.7,7.7,16.2,19.9,15.1,32
136,Nepal,22.7,3.2,14.2,23.5,17.4,30.6
137,Madagascar,22.2,6.6,15.4,23.4,15.4,14.8
138,Bangladesh,21.2,2.4,13,25.6,15.3,38.9
139,Egypt,19.6,3.9,12.8,20.1,17.6,22.7
140,Afghanistan,19.1,2,11.6,16.6,13.2,35.7
141,India,19,4.7,12.8,21.9,15.2,83.8
142,Pakistan,17.7,3.1,11.3,17.1,14,33.6
143,Libya,17.2,3.8,11.3,20.9,11.6,55.9
